subject,section,traial,Amount of deformation,answer1,answer2
1,1,1,0,4,2
1,1,2,18,4,3
1,1,3,35,3,4
1,1,4,52,2,5
1,1,5,68,3,5
1,1,6,85,3,5
1,1,7,100,3,5
1,1,8,93,2,4
1,1,9,76,3,5
1,1,10,60,3,5
1,1,11,43,4,5
1,1,12,26,5,5
1,1,13,10,4,5
1,2,14,0,5,3
1,2,15,10,5,2
1,2,16,18,5,5
1,2,17,26,5,5
1,2,18,35,5,5
1,2,19,43,5,5
1,2,20,52,4,5
1,2,21,60,5,5
1,2,22,68,4,5
1,2,23,76,4,4
1,2,24,85,5,5
1,2,25,93,4,5
1,2,26,100,4,5
1,3,27,100,3,3
1,3,28,52,5,4
1,3,29,93,2,5
1,3,30,43,5,5
1,3,31,85,4,5
1,3,32,35,4,5
1,3,33,76,5,5
1,3,34,26,5,4
1,3,35,68,5,5
1,3,36,18,5,4
1,3,37,60,5,5
1,3,38,10,5,2
1,3,39,0,5,4
1,4,40,100,2,5
1,4,41,85,2,5
1,4,42,68,2,5
1,4,43,52,4,5
1,4,44,35,3,5
1,4,45,18,5,2
1,4,46,0,4,4
1,4,47,10,4,5
1,4,48,26,5,5
1,4,49,43,2,5
1,4,50,60,2,5
1,4,51,76,2,5
1,4,52,93,2,5
1,5,53,100,2,5
1,5,54,93,2,5
1,5,55,85,3,5
1,5,56,76,3,5
1,5,57,68,2,5
1,5,58,60,2,5
1,5,59,52,2,5
1,5,60,43,2,5
1,5,61,35,2,5
1,5,62,26,3,5
1,5,63,18,4,5
1,5,64,10,4,3
1,5,65,0,4,5
1,6,66,100,1,5
1,6,67,93,1,5
1,6,68,85,2,5
1,6,69,18,4,5
1,6,70,10,4,5
1,6,71,0,4,2
1,6,72,60,2,5
1,6,73,68,2,5
1,6,74,76,2,5
1,6,75,26,4,5
1,6,76,35,2,5
1,6,77,43,3,5
1,6,78,52,2,5
1,7,79,0,4,2
1,7,80,52,2,5
1,7,81,10,5,2
1,7,82,60,2,5
1,7,83,18,4,2
1,7,84,68,2,5
1,7,85,26,4,5
1,7,86,76,4,5
1,7,87,35,3,5
1,7,88,85,2,5
1,7,89,43,3,5
1,7,90,93,1,5
1,7,91,100,1,5
1,8,92,0,4,1
1,8,93,10,3,1
1,8,94,18,2,4
1,8,95,100,1,5
1,8,96,93,1,5
1,8,97,85,1,5
1,8,98,76,3,5
1,8,99,43,3,5
1,8,100,35,2,5
1,8,101,26,2,5
1,8,102,68,3,5
1,8,103,60,2,5
1,8,104,52,2,5
1,9,105,100,1,5
1,9,106,85,2,5
1,9,107,68,2,5
1,9,108,52,2,5
1,9,109,35,2,5
1,9,110,18,2,5
1,9,111,0,3,2
1,9,112,10,4,3
1,9,113,26,3,4
1,9,114,43,2,5
1,9,115,60,1,5
1,9,116,76,2,5
1,9,117,93,1,5
1,10,118,100,2,5
1,10,119,93,2,5
1,10,120,85,2,5
1,10,121,18,3,4
1,10,122,10,4,2
1,10,123,0,4,2
1,10,124,60,1,5
1,10,125,68,2,5
1,10,126,76,2,5
1,10,127,26,3,5
1,10,128,35,3,5
1,10,129,43,3,5
1,10,130,52,3,5
1,11,131,0,4,3
1,11,132,10,4,3
1,11,133,18,4,2
1,11,134,26,2,5
1,11,135,35,3,5
1,11,136,43,5,5
1,11,137,52,2,5
1,11,138,60,4,5
1,11,139,68,2,4
1,11,140,76,2,5
1,11,141,85,4,5
1,11,142,93,3,5
1,11,143,100,2,5
1,12,144,100,2,5
1,12,145,52,2,5
1,12,146,93,2,5
1,12,147,43,2,5
1,12,148,85,2,5
1,12,149,35,2,5
1,12,150,76,2,4
1,12,151,26,2,5
1,12,152,68,2,4
1,12,153,18,3,3
1,12,154,60,2,5
1,12,155,10,4,3
1,12,156,0,3,2
1,13,157,0,4,2
1,13,158,10,4,4
1,13,159,18,3,4
1,13,160,100,2,5
1,13,161,93,1,5
1,13,162,85,1,5
1,13,163,76,2,5
1,13,164,43,2,5
1,13,165,35,2,5
1,13,166,26,3,4
1,13,167,68,2,5
1,13,168,60,2,4
1,13,169,52,2,5
1,14,170,0,4,3
1,14,171,10,4,3
1,14,172,18,4,2
1,14,173,26,2,5
1,14,174,35,3,5
1,14,175,43,5,5
1,14,176,52,2,5
1,14,177,60,4,5
1,14,178,68,2,4
1,14,179,76,2,5
1,14,180,85,4,5
1,14,181,93,3,5
1,14,182,100,2,5
1,15,183,0,4,2
1,15,184,18,3,2
1,15,185,35,3,5
1,15,186,52,2,5
1,15,187,68,2,5
1,15,188,85,2,5
1,15,189,100,2,5
1,15,190,93,2,5
1,15,191,76,2,5
1,15,192,60,2,5
1,15,193,43,3,5
1,15,194,26,3,3
1,15,195,10,4,2
1,16,196,0,4,2
1,16,197,52,3,4
1,16,198,10,4,3
1,16,199,60,2,5
1,16,200,18,2,5
1,16,201,68,2,5
1,16,202,26,2,3
1,16,203,76,3,4
1,16,204,35,2,4
1,16,205,85,2,4
1,16,206,43,3,4
1,16,207,93,2,4
1,16,208,100,2,5
2,1,1,100,1,3
2,1,2,85,1,3
2,1,3,68,1,3
2,1,4,52,1,1
2,1,5,35,2,2
2,1,6,18,4,2
2,1,7,0,5,2
2,1,8,10,5,2
2,1,9,26,4,2
2,1,10,43,2,5
2,1,11,60,1,4
2,1,12,76,1,5
2,1,13,93,1,4
2,2,14,100,1,5
2,2,15,93,5,5
2,2,16,85,1,4
2,2,17,18,4,1
2,2,18,10,5,1
2,2,19,0,4,2
2,2,20,60,2,4
2,2,21,68,2,4
2,2,22,76,2,4
2,2,23,26,4,2
2,2,24,35,4,2
2,2,25,43,2,4
2,2,26,52,2,4
2,3,27,0,4,2
2,3,28,18,5,1
2,3,29,35,3,3
2,3,30,52,2,4
2,3,31,68,1,4
2,3,32,85,1,5
2,3,33,100,1,5
2,3,34,93,1,5
2,3,35,76,1,5
2,3,36,60,1,4
2,3,37,43,2,3
2,3,38,26,4,2
2,3,39,10,5,1
2,4,40,0,4,2
2,4,41,10,5,1
2,4,42,18,5,2
2,4,43,26,3,3
2,4,44,35,2,4
2,4,45,43,2,4
2,4,46,52,1,4
2,4,47,60,1,5
2,4,48,68,1,5
2,4,49,76,1,5
2,4,50,85,1,5
2,4,51,93,1,5
2,4,52,100,1,5
2,5,53,100,1,5
2,5,54,52,2,4
2,5,55,93,1,5
2,5,56,43,3,3
2,5,57,85,1,5
2,5,58,35,4,2
2,5,59,76,2,4
2,5,60,26,5,2
2,5,61,68,2,4
2,5,62,18,5,1
2,5,63,60,2,4
2,5,64,10,5,1
2,5,65,0,4,4
2,6,66,100,1,5
2,6,67,93,1,5
2,6,68,85,1,5
2,6,69,76,1,4
2,6,70,68,1,4
2,6,71,60,3,4
2,6,72,52,3,4
2,6,73,43,3,4
2,6,74,35,4,2
2,6,75,26,4,2
2,6,76,18,5,1
2,6,77,10,4,2
2,6,78,0,4,3
2,7,79,0,4,2
2,7,80,10,5,1
2,7,81,18,5,1
2,7,82,100,1,5
2,7,83,93,1,5
2,7,84,85,1,5
2,7,85,76,1,5
2,7,86,43,2,4
2,7,87,35,2,4
2,7,88,26,4,2
2,7,89,68,2,4
2,7,90,60,1,5
2,7,91,52,2,4
2,8,92,0,4,3
2,8,93,52,2,5
2,8,94,10,5,1
2,8,95,60,2,4
2,8,96,18,5,1
2,8,97,68,1,5
2,8,98,26,4,2
2,8,99,76,1,5
2,8,100,35,3,3
2,8,101,85,1,4
2,8,102,43,2,4
2,8,103,93,1,5
2,8,104,100,1,5
2,9,105,100,1,5
2,9,106,93,1,5
2,9,107,85,1,5
2,9,108,18,5,1
2,9,109,10,5,1
2,9,110,0,4,3
2,9,111,60,2,4
2,9,112,68,2,4
2,9,113,76,1,1
2,9,114,26,5,2
2,9,115,35,4,2
2,9,116,43,3,4
2,9,117,52,2,4
2,10,118,100,1,5
2,10,119,93,1,5
2,10,120,85,1,5
2,10,121,76,1,5
2,10,122,68,1,5
2,10,123,60,2,4
2,10,124,52,2,4
2,10,125,43,2,3
2,10,126,35,4,3
2,10,127,26,4,2
2,10,128,18,5,1
2,10,129,10,5,1
2,10,130,0,4,4
2,11,131,0,4,4
2,11,132,10,5,1
2,11,133,18,5,1
2,11,134,26,5,3
2,11,135,35,4,4
2,11,136,43,2,4
2,11,137,52,2,4
2,11,138,60,2,4
2,11,139,68,1,5
2,11,140,76,1,5
2,11,141,85,1,5
2,11,142,93,1,5
2,11,143,100,1,5
2,12,144,0,4,4
2,12,145,10,5,2
2,12,146,18,5,1
2,12,147,100,1,5
2,12,148,93,1,5
2,12,149,85,1,5
2,12,150,76,1,5
2,12,151,43,3,4
2,12,152,35,4,2
2,12,153,26,5,2
2,12,154,68,2,4
2,12,155,60,2,5
2,12,156,52,2,4
2,13,157,100,1,5
2,13,158,85,1,5
2,13,159,68,2,5
2,13,160,52,2,4
2,13,161,35,4,2
2,13,162,18,5,1
2,13,163,0,4,3
2,13,164,10,5,1
2,13,165,26,5,1
2,13,166,43,3,4
2,13,167,60,2,4
2,13,168,76,1,5
2,13,169,93,1,5
2,14,170,100,1,5
2,14,171,52,4,4
2,14,172,93,1,1
2,14,173,43,4,1
2,14,174,85,2,2
2,14,175,35,5,4
2,14,176,76,2,4
2,14,177,26,5,4
2,14,178,68,3,2
2,14,179,18,5,2
2,14,180,60,3,4
2,14,181,10,2,4
2,14,182,0,2,4
2,15,183,0,4,4
2,15,184,52,2,5
2,15,185,10,5,1
2,15,186,60,2,5
2,15,187,18,5,1
2,15,188,68,2,5
2,15,189,26,5,2
2,15,190,76,1,5
2,15,191,35,4,2
2,15,192,85,1,5
2,15,193,43,3,4
2,15,194,93,1,5
2,15,195,100,1,5
2,16,196,0,4,4
2,16,197,18,5,1
2,16,198,35,4,2
2,16,199,52,3,3
2,16,200,68,3,4
2,16,201,85,1,4
2,16,202,100,1,5
2,16,203,93,1,5
2,16,204,76,1,5
2,16,205,60,3,3
2,16,206,43,3,3
2,16,207,26,5,1
2,16,208,10,5,2
3,1,1,100,1,3
3,1,2,52,3,3
3,1,3,93,1,4
3,1,4,43,3,2
3,1,5,85,1,4
3,1,6,35,4,3
3,1,7,76,2,3
3,1,8,26,4,2
3,1,9,68,3,3
3,1,10,18,4,2
3,1,11,60,2,3
3,1,12,10,5,2
3,1,13,0,2,3
3,2,14,0,2,4
3,2,15,52,2,4
3,2,16,10,4,2
3,2,17,60,2,3
3,2,18,18,5,2
3,2,19,68,1,3
3,2,20,26,4,2
3,2,21,76,2,3
3,2,22,35,3,3
3,2,23,85,1,3
3,2,24,43,2,4
3,2,25,93,1,4
3,2,26,100,1,4
3,3,27,0,3,2
3,3,28,10,4,2
3,3,29,18,4,2
3,3,30,100,2,3
3,3,31,93,2,3
3,3,32,85,2,3
3,3,33,76,3,3
3,3,34,43,3,3
3,3,35,35,3,3
3,3,36,26,4,2
3,3,37,68,2,3
3,3,38,60,2,3
3,3,39,52,3,3
3,4,40,0,4,1
3,4,41,10,5,1
3,4,42,18,5,1
3,4,43,26,4,2
3,4,44,35,3,3
3,4,45,43,3,3
3,4,46,52,2,3
3,4,47,60,2,3
3,4,48,68,3,3
3,4,49,76,2,3
3,4,50,85,1,2
3,4,51,93,1,2
3,4,52,100,1,3
3,5,53,100,2,3
3,5,54,93,1,4
3,5,55,85,2,3
3,5,56,18,4,2
3,5,57,10,5,1
3,5,58,0,3,1
3,5,59,60,2,3
3,5,60,68,2,3
3,5,61,76,1,3
3,5,62,26,4,1
3,5,63,35,3,2
3,5,64,43,2,2
3,5,65,52,2,4
3,6,66,100,1,4
3,6,67,93,1,4
3,6,68,85,1,3
3,6,69,76,2,3
3,6,70,68,2,3
3,6,71,60,2,3
3,6,72,52,3,3
3,6,73,43,3,3
3,6,74,35,3,2
3,6,75,26,4,2
3,6,76,18,5,2
3,6,77,10,5,1
3,6,78,0,3,3
3,7,79,100,1,3
3,7,80,85,1,3
3,7,81,68,1,3
3,7,82,52,4,2
3,7,83,35,4,2
3,7,84,18,5,1
3,7,85,0,3,4
3,7,86,10,5,1
3,7,87,26,5,2
3,7,88,43,2,3
3,7,89,60,2,3
3,7,90,76,1,3
3,7,91,93,1,4
3,8,92,0,2,3
3,8,93,18,4,2
3,8,94,35,2,3
3,8,95,52,2,3
3,8,96,68,2,3
3,8,97,85,1,4
3,8,98,100,1,4
3,8,99,93,1,4
3,8,100,76,2,4
3,8,101,60,2,3
3,8,102,43,2,3
3,8,103,26,4,3
3,8,104,10,4,2
3,9,105,0,3,2
3,9,106,18,4,3
3,9,107,35,2,3
3,9,108,52,2,3
3,9,109,68,1,3
3,9,110,85,1,3
3,9,111,100,1,4
3,9,112,93,1,4
3,9,113,76,1,4
3,9,114,60,2,3
3,9,115,43,3,3
3,9,116,26,5,2
3,9,117,10,4,2
3,10,118,100,1,4
3,10,119,93,1,4
3,10,120,85,1,4
3,10,121,18,5,2
3,10,122,10,5,2
3,10,123,0,3,2
3,10,124,60,1,3
3,10,125,68,2,3
3,10,126,76,1,3
3,10,127,26,4,3
3,10,128,35,3,2
3,10,129,43,3,2
3,10,130,52,2,3
3,11,131,0,3,3
3,11,132,10,4,2
3,11,133,18,5,2
3,11,134,26,3,3
3,11,135,35,4,4
3,11,136,43,3,4
3,11,137,52,4,4
3,11,138,60,3,4
3,11,139,68,3,5
3,11,140,76,2,4
3,11,141,85,1,4
3,11,142,93,1,4
3,11,143,100,1,4
3,12,144,100,2,4
3,12,145,85,1,4
3,12,146,68,2,4
3,12,147,52,3,3
3,12,148,35,3,2
3,12,149,18,5,1
3,12,150,0,3,2
3,12,151,10,5,2
3,12,152,26,5,2
3,12,153,43,2,3
3,12,154,60,1,4
3,12,155,76,1,4
3,12,156,93,1,4
3,13,157,0,4,2
3,13,158,10,4,2
3,13,159,18,5,2
3,13,160,100,1,4
3,13,161,93,1,4
3,13,162,85,2,4
3,13,163,76,2,3
3,13,164,43,4,3
3,13,165,35,4,2
3,13,166,26,5,1
3,13,167,68,1,4
3,13,168,60,1,4
3,13,169,52,1,3
3,14,170,100,1,4
3,14,171,52,4,2
3,14,172,93,2,4
3,14,173,43,4,2
3,14,174,85,1,3
3,14,175,35,4,2
3,14,176,76,2,3
3,14,177,26,5,2
3,14,178,68,2,3
3,14,179,18,5,2
3,14,180,60,3,3
3,14,181,10,4,2
3,14,182,0,3,3
3,15,183,0,4,2
3,15,184,52,2,4
3,15,185,10,4,2
3,15,186,60,2,4
3,15,187,18,5,1
3,15,188,68,2,4
3,15,189,26,4,2
3,15,190,76,1,5
3,15,191,35,4,4
3,15,192,85,2,3
3,15,193,43,3,3
3,15,194,93,1,3
3,15,195,100,1,4
3,16,196,100,1,4
3,16,197,93,1,4
3,16,198,85,1,4
3,16,199,76,2,4
3,16,200,68,3,4
3,16,201,60,3,4
3,16,202,52,3,3
3,16,203,43,4,2
3,16,204,35,3,2
3,16,205,26,5,2
3,16,206,18,5,2
