subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
1,1,1,1.5,1.25,3,5,10
1,1,2,1.5,1.375,4,3,5
1,1,3,1.5,2.125,2,1,5
1,1,4,1.5,1.625,4,3,2
1,1,5,1.5,1.875,3,2,4
1,1,6,1.5,2,2,1,2
1,1,7,1.5,2.25,1,2,2
1,1,8,1.5,1.125,6,3,7
1,1,9,1.5,1,6,1,2
1,1,10,1.5,1.5,4,2,4
1,1,11,1.5,1.75,4,2,4
1,2,12,1.125,1.125,4,2,5
1,2,13,1.125,1,6,2,2
1,2,14,1.125,1.375,4,1,5
1,2,15,1.125,2.125,1,1,1
1,2,16,1.125,2,1,1,1
1,2,17,1.125,1.625,3,1,2
1,2,18,1.125,1.5,3,1,2
1,2,19,1.125,1.75,2,1,2
1,2,20,1.125,1.875,2,1,2
1,2,21,1.125,2.25,1,1,1
1,2,22,1.125,1.25,3,1,1
1,3,23,1.375,1.625,2,4,7
1,3,24,1.375,2.125,1,1,2
1,3,25,1.375,1.375,4,2,3
1,3,26,1.375,1.5,3,2,3
1,3,27,1.375,2,1,2,3
1,3,28,1.375,1.75,2,2,2
1,3,29,1.375,1.25,5,3,3
1,3,30,1.375,1,6,2,4
1,3,31,1.375,1.875,2,2,2
1,3,32,1.375,2.25,1,2,3
1,3,33,1.375,1.125,5,1,2
1,4,34,2.125,2.25,4,4,6
1,4,35,2.125,1.625,2,1,4
1,4,36,2.125,1.825,3,1,2
1,4,37,2.125,1.75,3,2,3
1,4,38,2.125,1.5,2,2,2
1,4,39,2.125,2,4,1,2
1,4,40,2.125,1,1,2,3
1,4,41,2.125,1.25,1,2,3
1,4,42,2.125,1.375,1,1,2
1,4,43,2.125,2.125,4,3,4
1,4,44,2.125,1.125,1,1,1
1,5,45,1.75,1.125,2,4,4
1,5,46,1.75,1.375,3,1,1
1,5,47,1.75,1,1,1,1
1,5,48,1.75,2.125,6,1,2
1,5,49,1.75,1.875,5,2,4
1,5,50,1.75,1.625,5,2,5
1,5,51,1.75,1.5,3,2,4
1,5,52,1.75,1.25,1,1,2
1,5,53,1.75,2.25,7,2,3
1,5,54,1.75,1.75,4,2,3
1,5,55,1.75,2,6,3,5
1,6,56,2,2.25,5,3,9
1,6,57,2,1.25,1,4,5
1,6,58,2,1.875,5,3,4
1,6,59,2,1,7,2,2
1,6,60,2,1.625,5,1,3
1,6,61,2,1.375,6,2,3
1,6,62,2,1.75,5,2,3
1,6,63,2,1.5,5,2,4
1,6,64,2,2,4,3,3
1,6,65,2,2.125,3,3,3
1,6,66,2,1.125,7,4,5
1,7,67,2.25,1.875,5,2,2
1,7,68,2.25,1.625,6,1,3
1,7,69,2.25,1.75,4,2,5
1,7,70,2.25,2,5,2,2
1,7,71,2.25,2.125,4,6,7
1,7,72,2.25,1.125,7,1,3
1,7,73,2.25,1,7,2,2
1,7,74,2.25,2.25,4,2,4
1,7,75,2.25,1.375,6,2,3
1,7,76,2.25,1.25,6,2,3
1,7,77,2.25,1.5,6,1,7
1,8,78,1.875,1.25,6,1,1
1,8,79,1.875,1,7,2,1
1,8,80,1.875,1.625,5,1,2
1,8,81,1.875,2,3,2,2
1,8,82,1.875,1.5,5,3,7
1,8,83,1.875,1.75,4,1,4
1,8,84,1.875,2.25,1,2,3
1,8,85,1.875,1.875,2,3,3
1,8,86,1.875,1.375,6,5,5
1,8,87,1.875,2.125,2,1,2
1,8,88,1.875,1.125,6,2,3
1,9,89,1.25,1,6,3,5
1,9,90,1.25,2.125,1,1,2
1,9,91,1.25,2.25,1,2,2
1,9,92,1.25,1.375,4,3,3
1,9,93,1.25,1.875,2,2,3
1,9,94,1.25,1.125,5,2,3
1,9,95,1.25,2,1,4,4
1,9,96,1.25,1.25,4,2,3
1,9,97,1.25,1.5,3,3,6
1,9,98,1.25,1.75,2,3,4
1,9,99,1.25,1.625,3,1,3
1,10,100,1,2.125,1,1,2
1,10,101,1,1,4,1,3
1,10,102,1,1.375,3,1,1
1,10,103,1,1.625,2,1,3
1,10,104,1,1.25,3,1,1
1,10,105,1,1.875,1,1,1
1,10,106,1,2.25,1,1,1
1,10,107,1,1.125,4,1,1
1,10,108,1,1.5,3,1,3
1,10,109,1,1.75,2,1,2
1,10,110,1,2,1,1,1
1,11,111,1.625,1.75,3,4,4
1,11,112,1.625,1.875,3,1,4
1,11,113,1.625,1.625,4,1,2
1,11,114,1.625,2,1,1,3
1,11,115,1.625,1.5,4,1,4
1,11,116,1.625,1.125,7,4,3
1,11,117,1.625,1.25,5,2,2
1,11,118,1.625,1,7,3,3
1,11,119,1.625,1.375,5,3,3
1,11,120,1.625,2.25,1,1,3
1,11,121,1.625,2.125,2,1,3
2,1,1,1.375,2,2,1,1
2,1,2,1.375,1.875,2,1,2
2,1,3,1.375,1.125,6,1,3
2,1,4,1.375,1.625,4,1,2
2,1,5,1.375,2.25,2,1,1
2,1,6,1.375,1,6,1,5
2,1,7,1.375,2.125,2,1,1
2,1,8,1.375,1.75,2,1,2
2,1,9,1.375,1.25,3,1,3
2,1,10,1.375,1.5,4,2,2
2,1,11,1.375,1.375,5,1,1
2,2,12,1,2.25,1,2,1
2,2,13,1,1.875,2,1,1
2,2,14,1,1.625,2,1,1
2,2,15,1,1.375,3,1,2
2,2,16,1,1,4,1,4
2,2,17,1,2.125,1,1,1
2,2,18,1,1.25,5,1,1
2,2,19,1,2,5,1,1
2,2,20,1,1.125,4,1,2
2,2,21,1,1.75,5,1,1
2,2,22,1,1.5,5,1,2
2,3,23,1.125,1.25,4,1,2
2,3,24,1.125,1.625,3,1,1
2,3,25,1.125,2.125,1,1,1
2,3,26,1.125,1.875,2,1,2
2,3,27,1.125,1,6,1,2
2,3,28,1.125,1.125,4,1,1
2,3,29,1.125,1.375,3,2,2
2,3,30,1.125,2.25,1,2,1
2,3,31,1.125,1.75,3,1,1
2,3,32,1.125,1.5,3,1,1
2,3,33,1.125,2,5,1,1
2,4,34,1.25,2.125,2,1,1
2,4,35,1.25,2,2,1,1
2,4,36,1.25,1.875,2,1,1
2,4,37,1.25,1.375,5,2,3
2,4,38,1.25,1.625,4,1,1
2,4,39,1.25,1,5,1,1
2,4,40,1.25,1.125,6,1,1
2,4,41,1.25,1.75,3,1,1
2,4,42,1.25,1.5,5,1,1
2,4,43,1.25,2.25,1,1,1
2,4,44,1.25,1.25,4,1,1
2,5,45,2.25,1.5,5,1,1
2,5,46,2.25,2,3,1,1
2,5,47,2.25,1.625,5,1,1
2,5,48,2.25,1,6,1,1
2,5,49,2.25,2.125,4,1,1
2,5,50,2.25,1.25,7,1,1
2,5,51,2.25,1.125,7,1,1
2,5,52,2.25,2.25,4,1,2
2,5,53,2.25,1.375,7,1,2
2,5,54,2.25,1.75,4,1,1
2,5,55,2.25,1.875,4,1,1
2,6,56,2.125,2.125,4,1,1
2,6,57,2.125,2,4,1,1
2,6,58,2.125,1.75,5,1,1
2,6,59,2.125,1.625,5,2,3
2,6,60,2.125,1.375,6,1,1
2,6,61,2.125,1.125,6,1,1
2,6,62,2.125,1.25,6,1,1
2,6,63,2.125,1,7,1,1
2,6,64,2.125,1.5,6,1,1
2,6,65,2.125,1.875,5,1,1
2,6,66,2.125,2.25,4,1,1
2,7,67,1.5,1,5,1,1
2,7,68,1.5,1.875,4,1,1
2,7,69,1.5,1.375,4,1,1
2,7,70,1.5,1.625,4,1,1
2,7,71,1.5,1.25,6,1,2
2,7,72,1.5,1.125,6,1,1
2,7,73,1.5,1.5,5,1,1
2,7,74,1.5,2.25,1,1,3
2,7,75,1.5,2,3,1,1
2,7,76,1.5,1.75,3,1,1
2,7,77,1.5,2.125,1,1,1
2,8,78,1.625,1.25,6,1,3
2,8,79,1.625,1.375,5,1,1
2,8,80,1.625,1.5,5,1,1
2,8,81,1.625,1,5,1,1
2,8,82,1.625,1.875,3,1,1
2,8,83,1.625,2,2,1,1
2,8,84,1.625,1.125,6,1,1
2,8,85,1.625,1.625,5,1,1
2,8,86,1.625,2.25,1,1,1
2,8,87,1.625,1.75,4,1,1
2,8,88,1.625,2.125,2,1,1
2,9,89,1.75,1.5,5,1,2
2,9,90,1.75,1.75,4,1,1
2,9,91,1.75,1.875,4,1,1
2,9,92,1.75,2.25,3,1,1
2,9,93,1.75,1,5,1,1
2,9,94,1.75,2,5,1,1
2,9,95,1.75,2.125,3,1,1
2,9,96,1.75,1.125,6,1,1
2,9,97,1.75,1.375,6,1,3
2,9,98,1.75,1.25,6,1,1
2,9,99,1.75,1.625,5,1,2
2,10,100,2,1.875,5,1,1
2,10,101,2,1.375,7,1,1
2,10,102,2,1.625,5,1,1
2,10,103,2,1.75,4,1,1
2,10,104,2,2.125,4,1,1
2,10,105,2,1.5,5,1,1
2,10,106,2,1,6,1,2
2,10,107,2,1.25,6,2,1
2,10,108,2,2.25,4,1,1
2,10,109,2,1.125,6,1,1
2,10,110,2,2,5,2,1
2,11,111,1.875,2.125,3,1,1
2,11,112,1.875,1,6,1,1
2,11,113,1.875,1.625,4,2,2
2,11,114,1.875,1.75,4,1,1
2,11,115,1.875,1.875,4,1,1
2,11,116,1.875,1.125,6,1,1
2,11,117,1.875,1.5,5,1,1
2,11,118,1.875,1.375,6,1,1
2,11,119,1.875,1.25,6,1,1
2,11,120,1.875,2.25,3,1,1
2,11,121,1.875,2,5,1,1
3,1,1,1,1.625,2,4,3
3,1,2,1,1.5,2,2,2
3,1,3,1,2.125,1,3,3
3,1,4,1,1.25,4,2,2
3,1,5,1,1,4,4,3
3,1,6,1,1.875,3,3,2
3,1,7,1,1.375,3,5,5
3,1,8,1,2.25,1,2,3
3,1,9,1,1.125,4,2,4
3,1,10,1,1.75,2,1,2
3,1,11,1,2,1,2,2
3,2,12,1.25,1.875,3,6,7
3,2,13,1.25,1.25,4,3,3
3,2,14,1.25,1.125,4,3,2
3,2,15,1.25,2,7,3,2
3,2,16,1.25,1.5,4,4,4
3,2,17,1.25,1.375,5,3,2
3,2,18,1.25,2.125,1,2,3
3,2,19,1.25,1.75,3,4,4
3,2,20,1.25,1,7,3,2
3,2,21,1.25,2.25,2,2,1
3,2,22,1.25,1.625,3,2,2
3,3,23,2,1.125,6,2,6
3,3,24,2,1,7,2,2
3,3,25,2,2.25,4,2,2
3,3,26,2,1.625,5,2,2
3,3,27,2,1.75,5,2,3
3,3,28,2,1.25,6,2,2
3,3,29,2,1.5,7,2,4
3,3,30,2,2.125,4,2,2
3,3,31,2,1.875,5,7,8
3,3,32,2,1.375,6,2,4
3,3,33,2,2,4,3,3
3,4,34,1.625,1,5,4,3
3,4,35,1.625,1.625,6,2,2
3,4,36,1.625,1.375,5,2,3
3,4,37,1.625,2.125,2,2,2
3,4,38,1.625,1.25,6,2,2
3,4,39,1.625,1.5,5,5,4
3,4,40,1.625,1.125,6,2,2
3,4,41,1.625,1.875,3,4,4
3,4,42,1.625,2.25,3,3,5
3,4,43,1.625,1.75,4,5,5
3,4,44,1.625,2,6,2,2
3,5,45,2.125,1.875,5,2,2
3,5,46,2.125,1.75,5,3,2
3,5,47,2.125,1.375,7,3,2
3,5,48,2.125,1.5,7,2,2
3,5,49,2.125,2.25,4,3,4
3,5,50,2.125,2.125,5,2,2
3,5,51,2.125,1.25,6,3,4
3,5,52,2.125,1.625,6,11,8
3,5,53,2.125,1.125,6,2,4
3,5,54,2.125,1,7,2,2
3,5,55,2.125,2,5,4,5
3,6,56,1.5,2.25,4,5,5
3,6,57,1.5,2.125,2,4,3
3,6,58,1.5,1.375,5,7,6
3,6,59,1.5,1,7,2,2
3,6,60,1.5,1.5,7,2,2
3,6,61,1.5,1.25,6,2,2
3,6,62,1.5,1.75,5,2,3
3,6,63,1.5,2,2,6,4
3,6,64,1.5,1.625,4,3,3
3,6,65,1.5,1.125,4,6,3
3,6,66,1.5,1.875,4,3,3
3,7,67,1.375,1.5,4,4,2
3,7,68,1.375,1.625,4,4,3
3,7,69,1.375,2.125,2,3,2
3,7,70,1.375,2,2,7,4
3,7,71,1.375,1.875,2,3,2
3,7,72,1.375,1.25,5,3,2
3,7,73,1.375,1.125,6,3,2
3,7,74,1.375,1.375,6,3,3
3,7,75,1.375,1.75,2,3,2
3,7,76,1.375,1,5,3,2
3,7,77,1.375,2.25,3,2,2
3,8,78,1.875,1.75,5,4,5
3,8,79,1.875,1.125,6,4,3
3,8,80,1.875,1.5,6,2,2
3,8,81,1.875,2,3,2,2
3,8,82,1.875,2.25,2,2,2
3,8,83,1.875,1.875,4,5,5
3,8,84,1.875,2.125,4,2,2
3,8,85,1.875,1.375,6,2,2
3,8,86,1.875,1.25,6,2,2
3,8,87,1.875,1,6,2,2
3,8,88,1.875,1.625,6,2,2
3,9,89,2.25,1.5,6,4,16
3,9,90,2.25,1,6,2,3
3,9,91,2.25,2,4,2,2
3,9,92,2.25,1.75,5,2,2
3,9,93,2.25,1.875,5,7,6
3,9,94,2.25,2.125,4,2,2
3,9,95,2.25,1.625,5,2,2
3,9,96,2.25,2.25,4,2,2
3,9,97,2.25,1.125,7,2,2
3,9,98,2.25,1.375,6,2,2
3,9,99,2.25,1.25,7,2,2
3,10,100,1.125,1.875,3,6,5
3,10,101,1.125,2.25,2,2,2
3,10,102,1.125,1.25,4,4,4
3,10,103,1.125,1.375,4,4,8
3,10,104,1.125,1.75,3,2,2
3,10,105,1.125,2,2,2,3
3,10,106,1.125,2.125,2,2,2
3,10,107,1.125,1.5,5,2,2
3,10,108,1.125,1.625,5,4,4
3,10,109,1.125,1,4,4,4
3,10,110,1.125,1.125,4,3,3
3,11,111,1.75,2.25,2,3,3
3,11,112,1.75,1.375,5,4,3
3,11,113,1.75,1.875,4,2,2
3,11,114,1.75,1.25,6,2,2
3,11,115,1.75,1.625,5,7,12
3,11,116,1.75,1.125,6,2,3
3,11,117,1.75,2,2,2,2
3,11,118,1.75,1.5,6,2,2
3,11,119,1.75,1.75,4,4,4
3,11,120,1.75,1,6,2,2
3,11,121,1.75,2.125,4,5,5
4,1,1,1.5,1.75,4,4,5
4,1,2,1.5,1.5,4,5,5
4,1,3,1.5,1,7,2,2
4,1,4,1.5,1.625,3,2,3
4,1,5,1.5,1.25,5,2,2
4,1,6,1.5,1.125,7,2,3
4,1,7,1.5,2,1,1,2
4,1,8,1.5,2.125,1,1,1
4,1,9,1.5,1.875,1,2,2
4,1,10,1.5,2.25,1,1,1
4,1,11,1.5,1.375,5,5,4
4,2,12,1.75,1,7,1,2
4,2,13,1.75,2.125,4,1,1
4,2,14,1.75,1.5,6,2,2
4,2,15,1.75,1.125,7,1,1
4,2,16,1.75,1.375,5,1,1
4,2,17,1.75,1.875,5,2,3
4,2,18,1.75,1.625,4,6,10
4,2,19,1.75,1.25,5,1,5
4,2,20,1.75,2.25,2,1,3
4,2,21,1.75,2,3,1,4
4,2,22,1.75,1.75,4,2,3
4,3,23,2,1.875,3,3,3
4,3,24,2,1,7,1,4
4,3,25,2,1.25,6,2,4
4,3,26,2,1.125,6,2,4
4,3,27,2,1.625,5,1,1
4,3,28,2,1.375,6,3,4
4,3,29,2,2,4,2,2
4,3,30,2,1.75,5,2,3
4,3,31,2,1.5,5,2,3
4,3,32,2,2.125,4,3,4
4,3,33,2,2.25,3,2,4
4,4,34,1.875,2.25,3,2,3
4,4,35,1.875,1.5,5,3,3
4,4,36,1.875,1.25,6,2,2
4,4,37,1.875,1.375,6,2,2
4,4,38,1.875,1.125,7,1,4
4,4,39,1.875,1.625,6,1,2
4,4,40,1.875,1.875,4,3,4
4,4,41,1.875,1.75,5,2,3
4,4,42,1.875,1,7,1,1
4,4,43,1.875,2.125,4,2,3
4,4,44,1.875,2,3,2,2
4,5,45,1.25,2.125,2,2,2
4,5,46,1.25,1.375,4,2,2
4,5,47,1.25,1.75,3,2,3
4,5,48,1.25,2.25,2,2,3
4,5,49,1.25,1.5,3,3,3
4,5,50,1.25,1.125,5,2,4
4,5,51,1.25,1.25,5,2,4
4,5,52,1.25,2,2,2,2
4,5,53,1.25,1.625,2,2,3
4,5,54,1.25,1.875,2,2,2
4,5,55,1.25,1,6,2,2
4,6,56,1,2.25,2,2,2
4,6,57,1,1.75,2,2,2
4,6,58,1,1.125,4,2,3
4,6,59,1,1.375,3,1,1
4,6,60,1,1.5,3,2,3
4,6,61,1,1.875,3,2,2
4,6,62,1,2.125,1,1,6
4,6,63,1,1,4,3,4
4,6,64,1,1.625,3,2,2
4,6,65,1,2,2,1,2
4,6,66,1,1.25,3,8,12
4,7,67,1.625,1,6,6,5
4,7,68,1.625,1.125,6,2,2
4,7,69,1.625,2,3,2,3
4,7,70,1.625,1.75,3,2,2
4,7,71,1.625,1.25,6,2,3
4,7,72,1.625,1.875,3,2,2
4,7,73,1.625,1.625,4,2,2
4,7,74,1.625,2.125,1,2,2
4,7,75,1.625,1.375,5,2,2
4,7,76,1.625,2.25,1,1,3
4,7,77,1.625,1.5,5,2,2
4,8,78,1.125,1.25,3,4,6
4,8,79,1.125,2,2,1,1
4,8,80,1.125,1,4,4,6
4,8,81,1.125,1.625,2,1,1
4,8,82,1.125,1.375,3,2,2
4,8,83,1.125,2.25,1,1,3
4,8,84,1.125,1.875,2,2,2
4,8,85,1.125,1.5,3,2,3
4,8,86,1.125,1.125,4,2,3
4,8,87,1.125,1.75,2,2,2
4,8,88,1.125,2.125,1,3,2
4,9,89,1.375,1.75,2,2,4
4,9,90,1.375,1.25,5,2,3
4,9,91,1.375,2.25,1,1,4
4,9,92,1.375,1.875,2,2,5
4,9,93,1.375,1.125,5,2,3
4,9,94,1.375,1.5,4,2,3
4,9,95,1.375,2,2,2,2
4,9,96,1.375,2.125,2,2,2
4,9,97,1.375,1.375,4,3,3
4,9,98,1.375,1.625,3,2,3
4,9,99,1.375,1,7,1,4
4,10,100,2.125,1.375,6,2,2
4,10,101,2.125,1.75,5,2,2
4,10,102,2.125,2.125,4,2,2
4,10,103,2.125,1.125,6,4,5
4,10,104,2.125,1.5,5,1,1
4,10,105,2.125,2,4,2,3
4,10,106,2.125,1.875,4,2,3
4,10,107,2.125,1.25,5,1,4
4,10,108,2.125,1.625,5,2,7
4,10,109,2.125,2.25,4,2,2
4,10,110,2.125,1,7,1,3
4,11,111,2.25,1,7,2,2
4,11,112,2.25,1.25,6,2,2
4,11,113,2.25,1.5,5,1,3
4,11,114,2.25,2.125,4,2,2
4,11,115,2.25,2.25,4,2,3
4,11,116,2.25,1.375,6,2,5
4,11,117,2.25,1.75,5,3,4
4,11,118,2.25,1.625,5,2,3
4,11,119,2.25,1.125,7,1,2
4,11,120,2.25,2,5,2,4
4,11,121,2.25,1.875,5,3,3
5,1,1,1.625,2,3,1,1
5,1,2,1.625,1.875,3,2,2
5,1,3,1.625,1,5,2,2
5,1,4,1.625,2.125,2,2,2
5,1,5,1.625,2.25,5,4,6
5,1,6,1.625,1.75,4,2,2
5,1,7,1.625,1.375,5,2,2
5,1,8,1.625,1.625,4,2,2
5,1,9,1.625,1.125,5,2,2
5,1,10,1.625,1.5,5,6,6
5,1,11,1.625,1.25,5,4,3
5,2,12,2.125,2.25,4,2,3
5,2,13,2.125,1,5,2,2
5,2,14,2.125,1.75,5,3,2
5,2,15,2.125,1.625,7,2,3
5,2,16,2.125,2.125,4,2,2
5,2,17,2.125,2,4,2,2
5,2,18,2.125,1.25,5,2,2
5,2,19,2.125,1.5,5,2,2
5,2,20,2.125,1.875,4,2,2
5,2,21,2.125,1.375,6,2,2
5,2,22,2.125,1.125,5,2,2
5,3,23,1.375,1.125,4,2,2
5,3,24,1.375,1.875,3,2,2
5,3,25,1.375,1.75,3,2,2
5,3,26,1.375,1.5,3,2,2
5,3,27,1.375,2,3,2,2
5,3,28,1.375,1,4,2,2
5,3,29,1.375,2.125,2,2,2
5,3,30,1.375,1.25,4,2,3
5,3,31,1.375,1.375,4,2,2
5,3,32,1.375,1.625,4,2,2
5,3,33,1.375,2.25,3,2,2
5,4,34,2,1,6,2,3
5,4,35,2,2,4,2,2
5,4,36,2,1.25,6,2,2
5,4,37,2,1.75,4,2,2
5,4,38,2,1.125,4,2,3
5,4,39,2,2.125,4,2,2
5,4,40,2,1.875,4,2,2
5,4,41,2,1.375,6,2,2
5,4,42,2,1.625,5,2,2
5,4,43,2,1.5,6,2,3
5,4,44,2,2.25,3,2,2
5,5,45,1.25,1.875,3,2,2
5,5,46,1.25,1.25,4,2,2
5,5,47,1.25,2.25,3,3,2
5,5,48,1.25,2.125,3,2,8
5,5,49,1.25,1,4,2,2
5,5,50,1.25,1.625,3,2,3
5,5,51,1.25,1.5,4,2,2
5,5,52,1.25,1.125,4,2,2
5,5,53,1.25,1.375,4,2,2
5,5,54,1.25,1.75,3,2,2
5,5,55,1.25,2,3,2,2
5,6,56,1.75,2.25,3,2,2
5,6,57,1.75,1.75,5,3,2
5,6,58,1.75,1,5,2,2
5,6,59,1.75,1.875,4,2,2
5,6,60,1.75,2,4,2,2
5,6,61,1.75,1.375,4,2,2
5,6,62,1.75,1.625,5,2,2
5,6,63,1.75,1.25,5,2,2
5,6,64,1.75,1.125,5,2,4
5,6,65,1.75,2.125,3,2,3
5,6,66,1.75,1.5,6,2,2
5,7,67,1,1,4,3,2
5,7,68,1,1.125,4,3,2
5,7,69,1,2,3,2,2
5,7,70,1,2.25,3,2,4
5,7,71,1,1.625,3,2,2
5,7,72,1,1.875,3,3,6
5,7,73,1,1.375,3,2,2
5,7,74,1,1.25,4,2,2
5,7,75,1,2.125,2,2,4
5,7,76,1,1.75,3,2,4
5,7,77,1,1.5,3,2,4
5,8,78,1.5,1.25,5,2,2
5,8,79,1.5,1.75,5,3,2
5,8,80,1.5,1.375,4,2,2
5,8,81,1.5,1,5,2,2
5,8,82,1.5,2.125,3,2,2
5,8,83,1.5,1.5,4,2,2
5,8,84,1.5,1.875,3,2,2
5,8,85,1.5,1.125,5,2,2
5,8,86,1.5,1.625,4,2,2
5,8,87,1.5,2,3,2,2
5,8,88,1.5,2.25,2,2,2
5,9,89,1.125,1.125,5,2,2
5,9,90,1.125,1.25,4,2,2
